region,provincia,comuna,candidato,pacto,partido,subpacto,nivel
TARAPACA,DEL TAMARUGAL,CAMIÑA,CAROLINA GOIC BOROEVIC,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,JOSE ANTONIO KAST RIST,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,SEBASTIAN PIÑERA ECHENIQUE,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,ALEJANDRO  GUILLIER ALVAREZ,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,BEATRIZ SANCHEZ MUÑOZ,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,MARCO  ENRIQUEZ-OMINAMI GUMUCIO,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,EDUARDO ARTES BRICHETTI,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,ALEJANDRO NAVARRO BRAIN,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Nulos,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Blancos,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,CARLOS EDUARDO SANTELICES LAGOS,POR TODO CHILE,INDEPENDIENTE PAIS,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MYLA ETELVINA CHAVEZ FAJARDO,POR TODO CHILE,INDEPENDIENTE PAIS,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,SEBASTIAN  VERGARA ALFARO,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MIGUEL ALFREDO ROCHA SARMIENTO,FRENTE AMPLIO,PODER,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RODRIGO OLIVA VICENTELO,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,ROXANA  VIGUERAS CHERRES,FRENTE AMPLIO,LIBERAL DE CHILE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RAFAEL  MONTES  GONZALEZ,SUMEMOS,AMPLITUD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,HECTOR  TICUNA VILCA,SUMEMOS,AMPLITUD,NA,parlamentario
